

          ---- Modelling Progress and Iteration Messages ----


 Description of column-headers and variables:
   ITERFL  = Iterations to solve flow
   ITERSQ  = Sequential transport-chemistry iterations
   MAXITCH = Maximum iterations to solve chemistry
   AVGITCH = Average iterations to solve chemistry
   DELTA-T = Current time step (days)
   Dt limit = Criterion limiting timestep
   Maxitch ID = Grid block: maximum chemical iterations

     STEP   Time(yr)   ITERFL ITERSQ MAXITCH AVGITCH Delta-t(day)  Dt limit       Maxitch ID
 ----------------------------------------------------------------------------------------------------------
      380  0.320053E-02     2     1    232    2.635  0.14500E-01  Flo_Delta_t       09f 1
      390  0.337599E-02     2     1    230    2.154  0.32472E-02  Chm_Delta_t       0VE 1
      400  0.349407E-02     2     1    228    2.216  0.24240E-02  Chm_Delta_t       0JO 1
      410  0.374406E-02     2     1    243    2.228  0.60317E-02  Chm_Delta_t       0Ik 1
      420  0.387705E-02     2     1    230    2.213  0.45026E-02  Chm_Delta_t       03H 1
      430  0.403796E-02     2     1    229    2.194  0.33612E-02  Chm_Delta_t       0Rv 1
      440  0.432740E-02     2     1    240    2.364  0.83637E-02  Chm_Delta_t       0Sv 1
      450  0.455516E-02     2     1    237    2.357  0.62435E-02  Chm_Delta_t       0Sq 1
      460  0.470136E-02     2     1    232    2.211  0.13982E-02  Chm_Delta_t       07U 1
      470  0.516594E-02     2     1    247    2.449  0.11597E-01  Chm_Delta_t       0B3 1
      480  0.537721E-02     2     1    234    2.345  0.86574E-02  Chm_Delta_t       03I 1
      484  0.547582E-02     2     1    244    2.386  0.20823E-02  Flo_Delta_t       0VZ 1
      490  0.549287E-02     2     1    242    2.104  0.10795E-02  Chm_Delta_t       0Gl 1
      500  0.586396E-02     2     1    246    2.366  0.89537E-02  Chm_Delta_t       0Jp 1
      510  0.611891E-02     2     1    235    2.752  0.22280E-01  Flo_Delta_t       0HW 1
      520  0.650854E-02     2     1    238    2.579  0.16632E-01  Flo_Delta_t       0Gs 1
      530  0.684945E-02     2     1    236    2.511  0.12415E-01  Chm_Delta_t       0KU 1
      540  0.718261E-02     2     1    242    2.416  0.92681E-02  Flo_Delta_t       0R6 1
      550  0.780813E-02     2     1    246    2.725  0.23062E-01  Flo_Delta_t       0JW 1
      560  0.808984E-02     2     1    239    2.413  0.51647E-02  Chm_Delta_t       09x 1
      564  0.821373E-02     2     1    235    2.596  0.16328E-01  Flo_Delta_t       0Oh 1
      570  0.852766E-02     2     1    242    2.467  0.84642E-02  Chm_Delta_t       01u 1
      580  0.888622E-02     2     1    239    2.544  0.63185E-02  Chm_Delta_t       0QZ 1
      590  0.902620E-02     2     1    229    2.519  0.47168E-02  Chm_Delta_t       0LI 1
